"callerPrefix","calleePrefix"
"practices/ux/model/drawio","practices/ux/model/json"
"practices/ux/model/drawio","tools/plan"
"practices/ux/model","actions"
"practices/ux/model","harness"
"practices/ux/model","practices"
"practices/ux/model","installation"
"practices/ux/model","harness/hooks"
"practices/ux/model","actions/sketch"
"practices/ux/model","harness/agent_tools"
"practices/ux/model","harness/markdown"
"practices/ux/model","harness/knowledge_graph"
"practices/ux/model","harness/mcp"
"practices/ux/model","practices/stories"
"practices/ux/model","practices/clean_engineering/model"
"practices/ux/model","practices/clean_engineering"
"practices/ux/model","tools/git"
"practices/ux/model","tools/context_setup"
"practices/ux/model","tools/workspace"
"practices/ux/model","actions/partition"
"practices/ux/model","practices/ux/model/drawio"
"practices/ux/model","practices/ux"
"practices/ux/model","tools/catalog_generator"
"practices/ux/model","practices/clean_engineering/model/drawio"
"practices/ux/model","practices/agent_bdd"
"practices/ux/model","practices/ux/model/markdown"
"practices/ux/model","builders/create_context_tool"
"practices/ux/model","tools/workflow"
"practices/ux/model","practices/bdd"
"practices/ux/model","builders/create_agent_toolset"
"practices/ux/model","practices/ddd"
"practices/ux/model","tools/prompt_echo"
"practices/ux/model","tools/handoff"
"practices/ux/model","practices/ux/model/html"
"practices/ux/model","practices/ux/model/json"
"practices/ux/model","tools/plan"
"practices/ux","actions"
"practices/ux","harness"
"practices/ux","practices"
"practices/ux","installation"
"practices/ux","harness/hooks"
"practices/ux","actions/sketch"
"practices/ux","harness/agent_tools"
"practices/ux","harness/markdown"
"practices/ux","harness/knowledge_graph"
"practices/ux","harness/mcp"
"practices/ux","practices/stories"
"practices/ux","practices/clean_engineering/model"
"practices/ux","practices/clean_engineering"
"practices/ux","tools/git"
"practices/ux","tools/context_setup"
"practices/ux","tools/workspace"
"practices/ux","actions/partition"
"practices/ux","practices/ux/model/drawio"
"practices/ux","practices/ux/model"
"practices/ux","tools/catalog_generator"
"practices/ux","practices/clean_engineering/model/drawio"
"practices/ux","practices/agent_bdd"
"practices/ux","practices/ux/model/markdown"
