"prefix","col1"
"tools/catalog_generator","CatalogFidelityGuidance"
"tools/catalog_generator","CatalogPage"
"tools/catalog_generator","TemplateFrontmatter"
"tools/catalog_generator","HeadingSection"
"tools/catalog_generator","GitCitation"
"tools/catalog_generator","ActionResolution"
"tools/catalog_generator","IllustratedExampleRow"
"tools/catalog_generator","CatalogTool"
"tools/catalog_generator","CatalogAction"
"tools/catalog_generator","CatalogFidelity"
"tools/catalog_generator","CatalogContextTool"
"tools/catalog_generator","CatalogUtility"
"tools/catalog_generator","Brand"
"practices/clean_engineering/model/drawio","ImportedClass"
"practices/clean_engineering/model/drawio","DrawIOCleanEngineeringModel"
"practices/clean_engineering/model/drawio","Drawio"
"practices/clean_engineering/model/drawio","DrawioViolation"
"practices/clean_engineering/model/drawio","DrawioScanner"
"practices/clean_engineering/model/drawio","Page"
"practices/clean_engineering/model/drawio","BaseAboveDerivedScanner"
"practices/clean_engineering/model/drawio","ClassTitleNoMarkdownBoldScanner"
"practices/clean_engineering/model/drawio","DrawIOClass"
"practices/clean_engineering/model/drawio","DrawIOModule"
"practices/clean_engineering/model/drawio","DistinctAnchorPointsScanner"
"practices/clean_engineering/model/drawio","EdgesApproachPerpendicularScanner"
"practices/clean_engineering/model/drawio","EdgesDoNotCrossClassesScanner"
"practices/clean_engineering/model/drawio","EdgesDoNotCrossOtherEdgesScanner"
"practices/clean_engineering/model/drawio","EdgesDoNotOverlapEdgesScanner"
"practices/clean_engineering/model/drawio","LeafNodesNotInHorizontalRowScanner"
"practices/clean_engineering/model/drawio","PreferShortRoutesScanner"
"practices/clean_engineering/model/drawio","StereotypeAboveClassNameScanner"
"practices/agent_bdd","AgentResult"
"practices/agent_bdd","AgentSession"
"practices/agent_bdd","AgentSpecManifest"
"practices/agent_bdd","AgentSpecRunbook"
"practices/agent_bdd","JudgeResult"
"practices/agent_bdd","RunResponse"
"practices/agent_bdd","AgentBlockLocal"
"practices/agent_bdd","AgentBdd"
"practices/agent_bdd","YamlFence"
"practices/agent_bdd","AgentHarnessError"
"practices/agent_bdd","AgentJudgeError"
"practices/agent_bdd","ChatInboxPending"
"practices/agent_bdd","HarnessLog"
"practices/agent_bdd","ToolsRunYaml"
"practices/agent_bdd","ToolsetInvoke"
"practices/agent_bdd","AgentBddConf"
"practices/ux/model/markdown","MarkdownUxMap"
"actions/iterate","Iterate"
"builders/create_context_tool","CreateContextTool"
"tools/workflow","WorkTicket"
"tools/workflow","Workflow"
"tools/workflow","WorkflowConfig"
"practices/bdd","Bdd"
"practices/bdd","Context"
"practices/bdd","Description"
"practices/bdd","Observation"
"builders/create_agent_toolset","CreateAgentToolset"
"practices/ddd","Plan"
"practices/ddd","AggregateEntry"
"practices/ddd","BoundedContextEntry"
"practices/ddd","Aggregate"
"practices/ddd","BoundedContext"
"practices/ddd","DomainEvent"
"practices/ddd","DomainService"
"practices/ddd","Entity"
"practices/ddd","EntityRoot"
"practices/ddd","Repository"
"practices/ddd","ValueObject"
"practices/ddd","Cart"
"practices/ddd","Ddd"
"practices/ddd","SelectSim"
"tools/prompt_echo","Echo"
"tools/prompt_echo","Sketch"
"tools/prompt_echo","PracticeGuidance"
"tools/prompt_echo","Generate"
"tools/prompt_echo","GuidanceAction"
"tools/prompt_echo","FidelityGuidance"
"tools/prompt_echo","PromptEcho"
"tools/diagnose","Diagnose"
"tools/handoff","Handoff"
"practices/ux/model/html","HtmlUxMap"
"tools/record_decisions","RecordDecisions"
"actions/improvement","Improvement"
"practices/ux/model/json","JsonUxMap"
"tools/plan","HILCheck"
"tools/plan","JudgeCheckpoint"
"tools/plan","Plan"
"tools/plan","PlanCommands"
"tools/plan","PlanExecution"
"tools/plan","PlanSeed"
"tools/plan","ProgressView"
"tools/plan","SmallWorkRunner"
"tools/plan","ThemedIssue"
"tools/plan","TurnAttachments"
"tools/plan","TurnTemplate"
"tools/plan","PlanTurns"
"tools/plan","SmallWorkState"
